author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Татьяна Серебрякова;realtor;https://www.cian.ru/rent/flat/313013810/;Москва;rent;flat;10;22;2;48.0;77000;0;Нижегородский;Газгольдерная ;10;Нижегородская
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/rent/flat/311711895/;Москва;rent;flat;34;73;2;108.5;400000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/311676529/;Москва;rent;flat;56;78;2;115.0;310000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312894988/;Москва;rent;flat;10;15;1;20.0;50000;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
ID 61118452;homeowner;https://www.cian.ru/rent/flat/270449379/;Москва;rent;flat;7;24;1;43.0;95000;0;Фили-Давыдково; Герасима Курина;18;Славянский бульвар
Екатерина Берест;realtor;https://www.cian.ru/rent/flat/313028332/;Москва;rent;flat;10;14;2;60.0;100000;0;Тропарево-Никулино;Ленинский проспект;154К2;Юго-Западная
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/312893897/;Москва;rent;flat;12;33;1;28.0;80000;0;Кунцево; Академика Павлова;56к1;Крылатское
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312307562/;Москва;rent;flat;2;5;2;90.0;360000;0;Пресненский;Малая Бронная ;13;Тверская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311237835/;Москва;rent;flat;15;79;2;63.0;270000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/294458860/;Москва;rent;flat;28;78;2;60.0;230000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Agent 007;real_estate_agent;https://www.cian.ru/rent/flat/312032470/;Москва;rent;flat;4;9;2;37.4;65000;0;Кузьминки; Маршала Чуйкова;7К4;Кузьминки
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313046606/;Москва;rent;flat;2;9;1;35.0;50000;0;Марьина роща;Стрелецкая ;14К1;Марьина Роща
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312832759/;Москва;rent;flat;9;17;2;51.0;78200;0;Зюзино;Болотниковская ;33К2;Каховская
ID 18390982;unknown;https://www.cian.ru/rent/flat/277218994/;Москва;rent;flat;11;22;1;40.0;100000;0;Тропарево-Никулино;Озерная ;35;Озёрная
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312897721/;Москва;rent;flat;15;17;1;38.0;65000;0;Теплый Стан; Генерала Тюленева;31К1;Тёплый Стан
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312676297/;Москва;rent;flat;2;6;2;56.0;200000;0;Пресненский;Мерзляковский переулок;5/1;Арбатская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312164858/;Москва;rent;flat;3;10;1;37.2;70000;0;Северное Бутово;Феодосийская ;7к6;Бульвар Дмитрия Донского
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/309241951/;Москва;rent;flat;12;23;2;41.0;58000;0;; Картмазовские Пруды;2к4;Филатов Луг
Лидер-Групп;real_estate_agent;https://www.cian.ru/rent/flat/311294648/;Москва;rent;flat;4;23;1;38.0;70000;0;Черемушки;Нахимовский проспект;31к3;Профсоюзная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312585231/;Москва;rent;flat;1;17;2;54.1;67000;0;Чертаново Южное;Варшавское шоссе;152К3;Улица Академика Янгеля
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312714638/;Москва;rent;flat;11;14;1;35.5;40000;0;; Аэростатная;6к4;Санино
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312935632/;Москва;rent;flat;9;78;2;62.1;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312884237/;Москва;rent;flat;51;69;2;51.0;300000;0;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити
Life Style;real_estate_agent;https://www.cian.ru/rent/flat/312229772/;Москва;rent;flat;4;22;1;40.0;50000;0;Ново-Переделкино; Скульптора Мухиной;2;Новопеределкино
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/rent/flat/312472650/;Москва;rent;flat;4;6;2;48.0;340000;0;Хамовники;Зубовская ;7;Парк Культуры
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310694324/;Москва;rent;flat;5;14;1;45.0;55000;0;Братеево;Алма-Атинская ;8К1;Алма-Атинская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311393380/;Москва;rent;flat;4;5;2;42.4;48000;0;Крюково;Зеленоград;к1808;Зеленоград — Крюково
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/312989448/;Москва;rent;flat;38;69;2;51.0;300000;0;Пресненский;Краснопресненская набережная;14Ак2;Москва-Сити
Тимур Данилян;realtor;https://www.cian.ru/rent/flat/312203075/;Москва;rent;flat;54;78;2;55.0;270000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312799905/;Москва;rent;flat;4;17;1;36.5;56700;0;Западное Дегунино;Весенняя ;4;Грачёвская
ID 61277972;homeowner;https://www.cian.ru/rent/flat/296443225/;Москва;rent;flat;3;5;2;42.0;65000;0;Зюзино;Херсонская ;7К3;Зюзино
ID 13430040;realtor;https://www.cian.ru/rent/flat/312168201/;Москва;rent;flat;11;15;2;64.2;92000;0;Крылатское;Осенняя ;4К1;Крылатское
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312707018/;Москва;rent;flat;3;15;1;25.1;55000;0;; Малое Понизовье;4;Филатов Луг
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/313075585/;Москва;rent;flat;14;14;2;124.0;400000;0;Дорогомилово;набережная Тараса Шевченко;1;Киевская
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/307670511/;Москва;rent;flat;50;85;2;92.0;270000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/312622823/;Москва;rent;flat;5;7;2;120.5;1000000;0;Хамовники;Пречистенская набережная;17-19;Кропоткинская
Ирина Титова;realtor;https://www.cian.ru/rent/flat/309356196/;Москва;rent;flat;15;78;2;63.0;249990;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312227472/;Москва;rent;flat;9;40;2;45.0;200000;0;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха
Светлана Биличенко;realtor;https://www.cian.ru/rent/flat/312931063/;Москва;rent;flat;2;9;1;36.0;40000;0;Кузьминки;Зеленодольская ;15К1;Кузьминки
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313040605/;Москва;rent;flat;6;8;1;32.0;90000;0;Тверской;Новослободская ;49/2;Менделеевская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/313040918/;Москва;rent;flat;7;21;1;43.5;130000;0;Пресненский; Сергея Макеева;9к3;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311424496/;Москва;rent;flat;12;33;1;33.8;56000;0;Митино;Муравская ;38Бк3;Пятницкое шоссе
V I B E;real_estate_agent;https://www.cian.ru/rent/flat/313054402/;Москва;rent;flat;11;18;2;62.0;190000;0;Беговой;Ленинградский проспект;29к1;Динамо
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/313040471/;Москва;rent;flat;4;12;2;50.0;85000;0;Таганский;Большая Калитниковская ;42А;Калитники
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/305740348/;Москва;rent;flat;29;75;2;112.0;255000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311107454/;Москва;rent;flat;7;7;2;98.0;230000;0;Тверской;Тверская ;28к1;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309809058/;Москва;rent;flat;6;25;2;65.0;140000;0;Фили-Давыдково;Давыдковская ;16;Славянский бульвар
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312514971/;Москва;rent;flat;16;22;1;41.0;55600;0;; Картмазовские Пруды;2к4;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311192379/;Москва;rent;flat;9;50;2;70.0;450000;0;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310272401/;Москва;rent;flat;5;8;2;96.0;320000;0;Арбат;Гоголевский бульвар;29;Арбатская
Александр Чайковский;realtor;https://www.cian.ru/rent/flat/312849752/;Москва;rent;flat;4;7;2;65.5;70000;0;Коптево; Зои и Александра Космодемьянских;35/1;Красный Балтиец
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312431139/;Москва;rent;flat;15;17;2;55.0;70000;0;Гольяново;Алтайская ;21;Гольяново
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312236273/;Москва;rent;flat;16;25;2;60.0;85000;0;Зюзино;Симферопольский бульвар;30к3;Чертановская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310666790/;Москва;rent;flat;13;17;1;31.7;58900;0;; Александры Монаховой;87к2;Потапово
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310379645/;Москва;rent;flat;2;5;2;45.1;73000;0;Богородское;Бойцовая ;11;Бульвар Рокоссовского
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/312683596/;Москва;rent;flat;15;21;2;60.0;220000;0;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312804647/;Москва;rent;flat;8;17;1;34.0;70000;0;Метрогородок;Тагильская ;3к4;Бульвар Рокоссовского
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/293041539/;Москва;rent;flat;7;16;2;200.0;450000;0;Арбат; Новый Арбат;27;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/305683693/;Москва;rent;flat;8;9;2;65.0;450000;0;Тверской;1-я Тверская-Ямская ;2;Маяковская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312517247/;Москва;rent;flat;1;12;2;44.5;50000;0;;проспект Куприна;36к1;Ольховая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309049517/;Москва;rent;flat;3;10;1;50.0;250000;0;Басманный;Чистопрудный бульвар;12К4;Чистые пруды
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/312727928/;Москва;rent;flat;55;78;2;54.0;280000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311589848/;Москва;rent;flat;15;21;2;60.0;220000;0;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года
ZIP Realty;real_estate_agent;https://www.cian.ru/rent/flat/309912650/;Москва;rent;flat;4;7;2;51.0;120000;0;Дорогомилово;Кутузовский проспект;24;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310989797/;Москва;rent;flat;4;32;2;38.5;95000;0;Головинский;Кронштадтский бульвар;9к4;Водный стадион
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/307706586/;Москва;rent;flat;60;78;2;96.0;410000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312823932/;Москва;rent;flat;12;23;2;45.0;97600;0;Щукино; Берзарина;30;Октябрьское поле
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312307328/;Москва;rent;flat;4;7;2;63.9;106350;0;Сокольники;Малая Остроумовская ;1А;Сокольники
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/309491497/;Москва;rent;flat;47;85;2;62.0;250000;0;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити
ID 31514962;homeowner;https://www.cian.ru/rent/flat/312805305/;Москва;rent;flat;33;33;2;53.0;95000;0;Очаково-Матвеевское;Очаковское шоссе;5к3;Аминьевская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312918617/;Москва;rent;flat;2;10;1;42.0;90000;0;Басманный;Нижняя Красносельская ;35С50;Бауманская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310966562/;Москва;rent;flat;2;5;1;31.0;50000;0;Перово;Мастеровая ;4;Перово
ID 54010673;unknown;https://www.cian.ru/rent/flat/312799548/;Москва;rent;flat;3;30;2;40.0;85000;0;Южнопортовый;Волгоградский проспект;32/3к5;Угрешская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310695591/;Москва;rent;flat;5;33;1;19.8;65000;0;Нагатино-Садовники;2-й Нагатинский проезд;2/2к1;Коломенская
CROCUS ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/311625219/;Москва;rent;flat;3;51;2;53.0;140000;0;Пресненский;Шмитовский проезд;39к1;Шелепиха
ID 47162859;homeowner;https://www.cian.ru/rent/flat/280983384/;Москва;rent;flat;12;14;2;44.0;120000;0;Филевский парк;Большая Филевская ;3к1;Фили
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/312974733/;Москва;rent;flat;7;9;2;48.0;55000;0;Коньково; Островитянова;31;Коньково
Ирина Василевская;realtor;https://www.cian.ru/rent/flat/292423340/;Москва;rent;flat;5;12;2;48.0;60000;0;Гольяново;Байкальская ;30К3;Щёлковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312715619/;Москва;rent;flat;14;20;2;70.0;200000;0;Якиманка; Шаболовка;10к1;Шаболовская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/312628160/;Москва;rent;flat;15;33;1;42.0;63000;0;Южное Медведково;Полярная ;25к2;Медведково
;;https://www.cian.ru/rent/flat/312586402/;Москва;rent;flat;5;21;2;50.0;172000;0;Алексеевский;Новоалексеевская ;16к2;Алексеевская
ID 56997267;homeowner;https://www.cian.ru/rent/flat/312737692/;Москва;rent;flat;4;32;2;40.0;125000;0;Головинский;Кронштадтский бульвар;9к6;Водный стадион
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312807116/;Москва;rent;flat;3;5;2;66.0;67900;0;Люблино;Ставропольская ;14;Люблино
ID 53956680;homeowner;https://www.cian.ru/rent/flat/295613136/;Москва;rent;flat;24;33;2;54.5;115000;0;Нагатино-Садовники;2-й Нагатинский проезд;2/2к1;Коломенская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310567814/;Москва;rent;flat;6;23;2;63.0;140000;0;Проспект Вернадского; Удальцова;27;Проспект Вернадского
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/311927168/;Москва;rent;flat;11;15;2;50.0;70000;0;; Красулинская;21;Филатов Луг
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/309522613/;Москва;rent;flat;15;21;2;60.0;220000;0;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311371974/;Москва;rent;flat;8;8;2;58.0;200000;0;Дорогомилово;площадь Победы;1кД;Поклонная
ZIP Realty;real_estate_agent;https://www.cian.ru/rent/flat/310386387/;Москва;rent;flat;5;10;2;54.0;100000;0;Дорогомилово;Кутузовский проспект;10;Киевская
AVILU Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311619151/;Москва;rent;flat;7;33;2;58.0;95000;0;Западное Дегунино; Летчика Осканова;6;Верхние Лихоборы
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/312435845/;Москва;rent;flat;6;13;2;75.3;395000;0;Арбат; Новый Арбат;32;Смоленская
ID 29012908;homeowner;https://www.cian.ru/rent/flat/311944763/;Москва;rent;flat;28;47;1;45.0;100000;0;Пресненский;Мукомольный проезд;2;Шелепиха
ID 77052146;homeowner;https://www.cian.ru/rent/flat/310871331/;Москва;rent;flat;5;15;2;46.6;120000;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312831855/;Москва;rent;flat;6;13;2;76.0;395000;0;Арбат; Новый Арбат;32;Смоленская
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/312729688/;Москва;rent;flat;13;20;2;75.0;85000;0;Фили-Давыдково;Тарутинская ;4к2;Славянский бульвар
ID 87269853;homeowner;https://www.cian.ru/rent/flat/311002168/;Москва;rent;flat;22;25;1;41.0;65000;0;; Никитина;11к1;Рассказовка
ID 28113312;unknown;https://www.cian.ru/rent/flat/280331948/;Москва;rent;flat;4;4;1;23.0;85000;0;Даниловский;2-я Рощинская ;10;Тульская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312619100/;Москва;rent;flat;3;9;2;31.8;60000;0;; Александры Монаховой;85к3;Потапово
Татьяна Шевцова;realtor;https://www.cian.ru/rent/flat/312982847/;Москва;rent;flat;1;16;1;30.0;55000;0;;проспект Куприна;30к2;Бунинская аллея
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312732236/;Москва;rent;flat;2;6;2;57.0;200000;0;Пресненский;Мерзляковский переулок;5/1;Арбатская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310787724/;Москва;rent;flat;19;24;2;62.0;139400;0;Филевский парк;Барклая ;6Ак1;Багратионовская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311745699/;Москва;rent;flat;4;6;2;140.0;450000;0;Хамовники;Бутиковский переулок;3;Парк Культуры
ID 13043628;homeowner;https://www.cian.ru/rent/flat/313087184/;Москва;rent;flat;2;5;2;42.8;120000;0;Пресненский; Пресненский Вал;23;Белорусская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/310996971/;Москва;rent;flat;2;5;1;30.0;65000;0;Академический; Кржижановского;24/35К4;Профсоюзная
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/313042607/;Москва;rent;flat;7;14;2;55.0;150000;0;Пресненский; Красная Пресня;23кБс1;Улица 1905 года
ID 109512407;homeowner;https://www.cian.ru/rent/flat/312581075/;Москва;rent;flat;10;25;1;42.0;75000;0;Рязанский; Васильцовский Стан;9;Текстильщики
ID 12819561;unknown;https://www.cian.ru/rent/flat/313005771/;Москва;rent;flat;2;4;1;33.0;80000;0;Соколиная гора;2-й Вольный переулок;11;Соколиная гора
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/312383179/;Москва;rent;flat;3;17;1;38.0;55000;0;Марьино; Верхние Поля;38К1;Люблино
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/rent/flat/312625469/;Москва;rent;flat;7;32;2;86.0;150000;0;Хорошевский;Хорошевское шоссе;12к1;Беговая
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/312972135/;Москва;rent;flat;2;10;2;70.0;130000;0;Пресненский; Климашкина;10;Краснопресненская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312481907/;Москва;rent;flat;4;13;2;92.0;400000;0;Арбат; Новый Арбат;32;Смоленская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/310626082/;Москва;rent;flat;3;10;2;125.0;450000;0;Тверской;Страстной бульвар;10к1;Пушкинская
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/310587409/;Москва;rent;flat;6;44;1;50.0;148000;0;Пресненский;Ходынская ;2;Улица 1905 года
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312716039/;Москва;rent;flat;4;6;2;140.0;480000;0;Хамовники;Бутиковский переулок;3;Парк Культуры
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/286124490/;Москва;rent;flat;6;12;2;78.0;250000;0;Тверской;2-я Брестская ;6;Маяковская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313020933/;Москва;rent;flat;5;17;1;37.2;57200;0;Крюково;проспект Георгиевский;27к1;Зеленоград — Крюково
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/311439362/;Москва;rent;flat;3;5;2;55.0;130000;0;Донской;Духовской переулок;17;Тульская
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/311749710/;Москва;rent;flat;7;21;1;48.0;130000;0;Пресненский;2-я Черногрязская ;6к3;Улица 1905 года
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/313045370/;Москва;rent;flat;19;25;2;53.0;130000;0;Арбат; Новый Арбат;6;Арбатская
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312242763/;Москва;rent;flat;5;5;2;70.0;280000;0;Пресненский;Столярный переулок;3к34;Улица 1905 года
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311039721/;Москва;rent;flat;35;38;2;134.0;380000;0;Раменки;Мосфильмовская ;70к3;Ломоносовский проспект
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/306980331/;Москва;rent;flat;5;7;2;70.0;215000;0;Арбат;Большой Николопесковский переулок;6;Смоленская
AR Realty - Real Estate Agency;real_estate_agent;https://www.cian.ru/rent/flat/312581921/;Москва;rent;flat;27;34;2;52.0;350000;0;Дорогомилово;Поклонная ;9;Поклонная
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/261416334/;Москва;rent;flat;56;75;2;90.0;350000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Суламит-НГС;real_estate_agent;https://www.cian.ru/rent/flat/312988736/;Москва;rent;flat;17;26;2;47.7;115000;0;Лефортово;Красноказарменная ;15к1;Авиамоторная
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312097998/;Москва;rent;flat;11;48;2;90.0;185000;0;Обручевский;Ленинский проспект;111к1;Новаторская
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/312992155/;Москва;rent;flat;3;21;2;57.5;340000;0;Пресненский;2-я Звенигородская ;16;Улица 1905 года
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/312897132/;Москва;rent;flat;3;7;2;100.0;200000;0;Можайский;Верейская ;29С151;Давыдково
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312461207/;Москва;rent;flat;4;6;2;65.0;250000;0;Хамовники;Комсомольский проспект;42С2;Спортивная
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/285819545/;Москва;rent;flat;6;12;2;80.0;250000;0;Тверской;2-я Брестская ;6;Маяковская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/307480940/;Москва;rent;flat;6;7;2;70.0;215000;0;Арбат;Большой Николопесковский переулок;6;Смоленская
Этажи Москва;real_estate_agent;https://www.cian.ru/rent/flat/310411861/;Москва;rent;flat;8;9;2;42.0;70000;0;Тимирязевский; Дубки;11;Тимирязевская
Этажи Москва;real_estate_agent;https://www.cian.ru/rent/flat/308203139/;Москва;rent;flat;17;18;2;49.3;65000;0;;проспект Прокшинский;12;Прокшино
Этажи Москва;real_estate_agent;https://www.cian.ru/rent/flat/312979615/;Москва;rent;flat;4;9;2;57.3;85000;0;;бульвар Скандинавский;5к1;Потапово
ID 23648292;unknown;https://www.cian.ru/rent/flat/311224720/;Москва;rent;flat;25;37;1;38.0;105000;0;Хорошево-Мневники;Шелепихинская набережная;34к1зд5;Шелепиха
ID 88729001;realtor;https://www.cian.ru/rent/flat/313072317/;Москва;rent;flat;5;12;1;38.0;75000;0;Преображенское; Преображенский Вал;16;Преображенская площадь
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/313070562/;Москва;rent;flat;4;23;1;41.0;80000;0;; Анны Ахматовой;11к3;Рассказовка
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312631414/;Москва;rent;flat;5;17;2;53.0;250000;0;Пресненский;Звенигородское шоссе;11;Улица 1905 года
Этажи Москва;real_estate_agent;https://www.cian.ru/rent/flat/309636002/;Москва;rent;flat;17;57;1;32.7;117000;0;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/310766132/;Москва;rent;flat;30;67;2;73.0;400000;0;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309998644/;Москва;rent;flat;2;25;1;35.4;60000;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/313022011/;Москва;rent;flat;9;17;2;52.0;48000;0;Южное Медведково; Молодцова;9;Медведково
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/311745220/;Москва;rent;flat;10;17;1;42.3;59000;0;; Лазурная;1;Коммунарка
Фаворит групп;real_estate_agent;https://www.cian.ru/rent/flat/312663595/;Москва;rent;flat;5;9;1;35.0;70000;0;Замоскворечье;Новокузнецкая ;35-37С1;Павелецкая
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/312967824/;Москва;rent;flat;5;6;1;40.0;90000;0;Ростокино;проспект Мира;188Бк2;Ростокино
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/310789331/;Москва;rent;flat;14;16;2;52.0;105000;0;Свиблово;проезд Серебрякова;11к1;Ботанический сад
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312736714/;Москва;rent;flat;57;75;2;96.0;400000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
ID 68938939;homeowner;https://www.cian.ru/rent/flat/312212750/;Москва;rent;flat;7;16;2;39.0;80000;0;;проспект Прокшинский;10;Прокшино
ZIP Realty;real_estate_agent;https://www.cian.ru/rent/flat/312799048/;Москва;rent;flat;2;5;2;42.0;90000;0;Дорогомилово;Студенческая ;16;Студенческая
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/rent/flat/313002641/;Москва;rent;flat;4;5;1;31.0;60000;0;Пресненский;Стрельбищенский переулок;25А;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311615652/;Москва;rent;flat;19;26;2;40.2;150000;0;Арбат; Новый Арбат;15;Арбатская
Арбат Престиж;real_estate_agent;https://www.cian.ru/rent/flat/312983857/;Москва;rent;flat;36;39;2;41.0;150000;0;Раменки; Лобачевского;120к1;Аминьевская
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/311539294/;Москва;rent;flat;58;75;2;100.0;455000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313033060/;Москва;rent;flat;13;23;2;42.6;62000;0;Чертаново Южное; Академика Янгеля;2;Улица Академика Янгеля
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/312992162/;Москва;rent;flat;17;34;2;56.0;350000;0;Дорогомилово;Поклонная ;9;Поклонная
